idx,label,id,type,source
312386,"Köhler, Wolfgang.",n5kfd7pb,Person,subject
86551,"Southern, H. N. (Henry Neville), 1908-",d3rr5yc7,Person,contributor
535172,"Huppke, Andrea, 1965-",w3h35dd8,Person,contributor
295305,"Pratt, Isaac",mhp9rgtf,Person,contributor
301287,"Reynolds, David K.",mr5m3tge,Person,contributor
209411,"Wojtasiewicz, Olgierd.",hfkdmck6,Person,contributor
439787,"Woodworth, John M. (John Maynard), 1837-1879.",snu6jjvb,Person,contributor
17989,"Sutherland, Robert.",anhz2g5y,Person,contributor
244852,"Carnevale, Francesco, 1944-",jqkd9phf,Person,contributor
228489,"Schaper, Johann Ernst, 1668-1721",j5qmjbb7,Person,contributor
37823,"Duchet, Michèle.",bcmardby,Person,contributor
357203,"Montecuccoli, Raimond de, Comte, 1608-1681.",pqv8h7a2,Person,subject
338176,"Doney, Thomas, active 1844-1852.",p34c4nfb,Person,contributor
37431,"Roberts, Jonathan, 1935-",bc5tu4vy,Person,contributor
352549,"McCambridge, George.",pjwxkj5f,Person,contributor
549196,"Frame, Janet.",wjzh47rq,Person,contributor
321117,"Bell, A. N. (Agrippa Nelson), 1820-1911",nf5s2rgs,Person,contributor
445164,"Wright, Wilmer Cave",susvnsgw,Person,contributor
51780,"Zeissler, Johannes (Johannes Karl), 1893-",buvpxsbg,Person,contributor
572816,"Busch, Lawrence.",xdynqwun,Person,contributor
609362,"Walton, William.",yprs62ts,Person,subject
453018,"Valet, Antoine, -1607.",t5mt4p38,Person,contributor
548709,Father of candor,wjfmad9d,Person,contributor
625353,"Rosenfeld, Zeev Zvi.",z9fqjwev,Person,contributor
92406,"Conderana Cerrillo, Jesús Manuel.",da6v9mtg,Person,contributor
566339,"Zupko, Ronald Edward.",x6vce5gu,Person,contributor
283039,"Puteanus, Erycius, 1574-1646.",m43xnqmt,Person,contributor
401277,"Nicolson, Garth L.",radhgttn,Person,contributor
272649,"Santayana, George, 1863-1952.",kqenfbhv,Person,subject
405408,"Peabody, Francis Weld, 1881-1927.",req5uusz,Person,subject
203521,"Migliorini, Paola.",h92svjv4,Person,contributor
575308,"Jackson, Mark, 1959-",xgrsvvxd,Person,contributor
13216,"Green, Michael.",aga8tbrb,Person,contributor
200359,"Rivkin-Fish, Michele R.",h5eepw7m,Person,contributor
443089,"Davies, Hugh Morriston, 1879-1965.",ssmbmntv,Person,contributor
529415,"Higgins, Joan",vv6r5q9b,Person,contributor
4285,"Sheldrake, Timothy, active 1783-1806.",a6pssckt,Person,contributor
410512,"Buss, David M",rmcu4vzk,Person,contributor
417658,"Wrekk, Alex",rvfqhuuk,Person,contributor
366972,Ehsan-ul-Haq.,q3mwuw2j,Person,contributor
359028,"Whipple, Dorothy V., approximately 1901-1995.",psyz4bn8,Person,subject
347764,"La Caille, Nicolas Louis de, 1713-1762.",pdpb7vns,Person,contributor
201917,"Reid, John, 1809-1849",h756vgd4,Person,contributor
310304,"Smaltzing, Georg",n36nb6y2,Person,contributor
